post_id,text,account_id,timestamp,token,type
p0191,Buy now!! Massive potential! #BLOC,acc0255,2025-12-04T14:50:47,BLOC,bot
p0192,This might be manipulated.,acc0116,2025-12-04T14:51:16,NEURA,doubt
p0193,Strong team strong roadmap! #ASI,acc0370,2025-12-04T14:51:26,ASI,coordinated
p0194,Massive pump incoming stay ready!,acc0445,2025-12-04T14:51:47,RNDR,coordinated
p0195,BREAKING: Major partnership confirmed!,acc0067,2025-12-04T14:52:12,AITK,fake_news
p0196,The project is growing steadily.,acc0123,2025-12-04T14:52:37,ASI,organic
p0197,Seems like coordinated hype.,acc0234,2025-12-04T14:53:01,BLOC,doubt
p0198,This will be the next 100x!,acc0194,2025-12-04T14:53:31,OMNI,coordinated
p0199,Strong development updates.,acc0013,2025-12-04T14:53:54,RNDR,organic
p0200,Rumor: Big tech involved!,acc0354,2025-12-04T14:53:58,XCY,fake_news
p0201,Market sentiment seems healthy. #FEX,acc0394,2025-12-04T14:53:59,FEX,organic
p0202,Strong development updates.,acc0086,2025-12-04T14:54:04,ASI,organic
p0203,Too many identical posts today...,acc0383,2025-12-04T14:54:22,NEURA,doubt
p0204,Rumor: Big tech involved!,acc0493,2025-12-04T14:54:32,TAO,fake_news
p0205,Strong team strong roadmap!,acc0050,2025-12-04T14:54:46,FEX,coordinated
p0206,Market sentiment seems healthy.,acc0280,2025-12-04T14:54:49,AITK,organic
p0207,To the moon!!!,acc0165,2025-12-04T14:55:15,ASI,bot
p0208,Pump incoming! #BLOC,acc0209,2025-12-04T14:55:45,BLOC,bot
p0209,To the moon!!!,acc0190,2025-12-04T14:56:06,RNDR,bot
p0210,BREAKING: Major partnership confirmed!,acc0072,2025-12-04T14:56:20,TAO,fake_news
p0211,Don't miss this 100x! #XCY,acc0264,2025-12-04T14:56:46,XCY,bot
p0212,Pump incoming!,acc0080,2025-12-04T14:57:13,NEURA,bot
p0213,Market sentiment seems healthy.,acc0110,2025-12-04T14:57:35,RNDR,organic
p0214,Solid long-term potential.,acc0206,2025-12-04T14:57:57,FEX,organic
p0215,Solid long-term potential. #ASI,acc0193,2025-12-04T14:58:26,ASI,organic
p0216,Buy now!! Massive potential!,acc0013,2025-12-04T14:58:42,OMNI,bot
p0217,Too many identical posts today...,acc0129,2025-12-04T14:58:49,FEX,doubt
p0218,Don't miss this 100x!,acc0270,2025-12-04T14:58:51,FEX,bot
p0219,Strong team strong roadmap!,acc0132,2025-12-04T14:58:59,OMNI,coordinated
p0220,Strong development updates. #FEX,acc0035,2025-12-04T14:59:01,FEX,organic
p0221,BREAKING: Major partnership confirmed! #OMNI,acc0358,2025-12-04T14:59:25,OMNI,fake_news
p0222,Too many identical posts today... #FEX,acc0130,2025-12-04T14:59:35,FEX,doubt
p0223,Solid long-term potential.,acc0456,2025-12-04T14:59:56,XCY,organic
p0224,Too many identical posts today... #NEURA,acc0024,2025-12-04T15:00:12,NEURA,doubt
p0225,Market sentiment seems healthy.,acc0129,2025-12-04T15:00:15,AITK,organic
p0226,Pump incoming!,acc0165,2025-12-04T15:00:30,RNDR,bot
p0227,This will be the next 100x!,acc0423,2025-12-04T15:00:56,ASI,coordinated
p0228,Solid long-term potential.,acc0403,2025-12-04T15:01:15,NEURA,organic
p0229,This will be the next 100x!,acc0262,2025-12-04T15:01:16,RNDR,coordinated
p0230,The project is growing steadily.,acc0177,2025-12-04T15:01:28,NEURA,organic
p0231,BREAKING: Major partnership confirmed!,acc0108,2025-12-04T15:01:34,OMNI,fake_news
p0232,Strong team strong roadmap! #ASI,acc0435,2025-12-04T15:01:56,ASI,coordinated
p0233,Solid long-term potential.,acc0397,2025-12-04T15:02:15,RNDR,organic
p0234,Solid long-term potential.,acc0079,2025-12-04T15:02:37,FEX,organic
p0235,The project is growing steadily.,acc0308,2025-12-04T15:02:39,FEX,organic
p0236,BREAKING: Major partnership confirmed! #FEX,acc0128,2025-12-04T15:02:57,FEX,fake_news
p0237,BREAKING: Major partnership confirmed! #ASI,acc0079,2025-12-04T15:02:59,ASI,fake_news
p0238,Strong team strong roadmap! #RNDR,acc0063,2025-12-04T15:03:09,RNDR,coordinated
p0239,Too many identical posts today...,acc0016,2025-12-04T15:03:37,ASI,doubt
p0240,Where is the proof?,acc0070,2025-12-04T15:03:45,BLOC,doubt
p0241,Buy now!! Massive potential! #NEURA,acc0147,2025-12-04T15:04:13,NEURA,bot
p0242,Buy now!! Massive potential!,acc0051,2025-12-04T15:04:17,AITK,bot
p0243,Rumor: Big tech involved!,acc0154,2025-12-04T15:04:38,BLOC,fake_news
p0244,Seems like coordinated hype.,acc0300,2025-12-04T15:05:01,FEX,doubt
p0245,To the moon!!!,acc0364,2025-12-04T15:05:08,ASI,bot
p0246,The project is growing steadily. #RNDR,acc0182,2025-12-04T15:05:16,RNDR,organic
p0247,Leaked info suggests huge collaboration! #TAO,acc0123,2025-12-04T15:05:25,TAO,fake_news
p0248,Solid long-term potential. #NEURA,acc0318,2025-12-04T15:05:32,NEURA,organic
p0249,This might be manipulated.,acc0177,2025-12-04T15:06:00,FEX,doubt
p0250,BREAKING: Major partnership confirmed!,acc0437,2025-12-04T15:06:22,TAO,fake_news
p0251,Pump incoming! #RNDR,acc0067,2025-12-04T15:06:43,RNDR,bot
p0252,BREAKING: Major partnership confirmed!,acc0267,2025-12-04T15:07:04,FEX,fake_news
p0253,Market sentiment seems healthy. #FEX,acc0302,2025-12-04T15:07:27,FEX,organic
p0254,Don't miss this 100x!,acc0038,2025-12-04T15:07:57,OMNI,bot
p0255,Massive pump incoming stay ready!,acc0335,2025-12-04T15:08:03,AITK,coordinated
p0256,The project is growing steadily.,acc0231,2025-12-04T15:08:30,AITK,organic
p0257,Pump incoming!,acc0266,2025-12-04T15:08:40,AITK,bot
p0258,Solid long-term potential.,acc0174,2025-12-04T15:08:46,RNDR,organic
p0259,Insider: massive deal incoming! #RNDR,acc0166,2025-12-04T15:08:50,RNDR,fake_news
p0260,Buy now!! Massive potential! #FEX,acc0359,2025-12-04T15:09:03,FEX,bot
p0261,Massive pump incoming stay ready! #OMNI,acc0115,2025-12-04T15:09:13,OMNI,coordinated
p0262,Buy now!! Massive potential! #XCY,acc0091,2025-12-04T15:09:27,XCY,bot
p0263,Solid long-term potential. #XCY,acc0494,2025-12-04T15:09:38,XCY,organic
p0264,To the moon!!!,acc0248,2025-12-04T15:09:42,TAO,bot
p0265,Don't miss this 100x!,acc0300,2025-12-04T15:09:59,BLOC,bot
p0266,Undervalued gem!,acc0190,2025-12-04T15:10:13,TAO,coordinated
p0267,Massive pump incoming stay ready! #TAO,acc0121,2025-12-04T15:10:38,TAO,coordinated
p0268,Massive pump incoming stay ready! #OMNI,acc0160,2025-12-04T15:11:06,OMNI,coordinated
p0269,Rumor: Big tech involved! #NEURA,acc0499,2025-12-04T15:11:18,NEURA,fake_news
p0270,This might be manipulated.,acc0057,2025-12-04T15:11:42,NEURA,doubt
p0271,Leaked info suggests huge collaboration!,acc0202,2025-12-04T15:11:44,RNDR,fake_news
p0272,BREAKING: Major partnership confirmed!,acc0129,2025-12-04T15:12:02,ASI,fake_news
p0273,To the moon!!!,acc0374,2025-12-04T15:12:08,AITK,bot
p0274,Strong team strong roadmap!,acc0025,2025-12-04T15:12:38,AITK,coordinated
p0275,Buy now!! Massive potential! #FEX,acc0117,2025-12-04T15:12:58,FEX,bot
p0276,Undervalued gem!,acc0131,2025-12-04T15:13:09,ASI,coordinated
p0277,Undervalued gem!,acc0290,2025-12-04T15:13:26,ASI,coordinated
p0278,Leaked info suggests huge collaboration!,acc0128,2025-12-04T15:13:39,RNDR,fake_news
p0279,Seems like coordinated hype.,acc0205,2025-12-04T15:13:50,RNDR,doubt
p0280,Undervalued gem!,acc0024,2025-12-04T15:14:16,TAO,coordinated
p0281,The project is growing steadily. #NEURA,acc0333,2025-12-04T15:14:37,NEURA,organic
p0282,Rumor: Big tech involved!,acc0350,2025-12-04T15:14:45,RNDR,fake_news
p0283,This will be the next 100x!,acc0091,2025-12-04T15:14:48,NEURA,coordinated
p0284,Strong team strong roadmap!,acc0451,2025-12-04T15:15:15,AITK,coordinated
p0285,Seems like coordinated hype.,acc0218,2025-12-04T15:15:22,FEX,doubt
p0286,Solid long-term potential.,acc0464,2025-12-04T15:15:37,NEURA,organic
p0287,Seems like coordinated hype. #ASI,acc0191,2025-12-04T15:16:06,ASI,doubt
p0288,The project is growing steadily.,acc0475,2025-12-04T15:16:24,TAO,organic
p0289,Where is the proof?,acc0232,2025-12-04T15:16:25,RNDR,doubt
p0290,Where is the proof?,acc0139,2025-12-04T15:16:46,RNDR,doubt
p0291,Strong team strong roadmap!,acc0222,2025-12-04T15:17:08,ASI,coordinated
p0292,Don't miss this 100x!,acc0171,2025-12-04T15:17:31,ASI,bot
p0293,Too many identical posts today...,acc0444,2025-12-04T15:17:32,ASI,doubt
p0294,Seems like coordinated hype.,acc0088,2025-12-04T15:17:44,TAO,doubt
p0295,Rumor: Big tech involved! #OMNI,acc0398,2025-12-04T15:18:13,OMNI,fake_news
p0296,Leaked info suggests huge collaboration!,acc0417,2025-12-04T15:18:36,NEURA,fake_news
p0297,Strong team strong roadmap! #ASI,acc0070,2025-12-04T15:18:45,ASI,coordinated
p0298,Seems like coordinated hype.,acc0289,2025-12-04T15:19:13,NEURA,doubt
p0299,This might be manipulated.,acc0227,2025-12-04T15:19:43,OMNI,doubt
p0300,Market sentiment seems healthy.,acc0243,2025-12-04T15:19:50,XCY,organic
p0301,Undervalued gem!,acc0359,2025-12-04T15:19:58,NEURA,coordinated
p0302,Seems like coordinated hype.,acc0490,2025-12-04T15:20:24,AITK,doubt
p0303,Don't miss this 100x!,acc0279,2025-12-04T15:20:33,NEURA,bot
p0304,Solid long-term potential. #BLOC,acc0201,2025-12-04T15:20:41,BLOC,organic
p0305,Market sentiment seems healthy.,acc0004,2025-12-04T15:21:05,AITK,organic
p0306,Too many identical posts today... #FEX,acc0301,2025-12-04T15:21:22,FEX,doubt
p0307,Insider: massive deal incoming!,acc0170,2025-12-04T15:21:49,FEX,fake_news
p0308,Undervalued gem!,acc0006,2025-12-04T15:21:50,AITK,coordinated
p0309,Rumor: Big tech involved! #AITK,acc0120,2025-12-04T15:22:07,AITK,fake_news
p0310,Pump incoming!,acc0167,2025-12-04T15:22:32,RNDR,bot
p0311,Buy now!! Massive potential!,acc0274,2025-12-04T15:22:38,RNDR,bot
p0312,Rumor: Big tech involved! #TAO,acc0203,2025-12-04T15:23:03,TAO,fake_news
p0313,To the moon!!! #XCY,acc0262,2025-12-04T15:23:05,XCY,bot
p0314,This might be manipulated. #AITK,acc0466,2025-12-04T15:23:25,AITK,doubt
p0315,Strong development updates.,acc0199,2025-12-04T15:23:39,OMNI,organic
p0316,Massive pump incoming stay ready! #AITK,acc0118,2025-12-04T15:23:49,AITK,coordinated
p0317,Massive pump incoming stay ready!,acc0047,2025-12-04T15:23:51,RNDR,coordinated
p0318,BREAKING: Major partnership confirmed!,acc0481,2025-12-04T15:23:56,FEX,fake_news
p0319,To the moon!!!,acc0250,2025-12-04T15:24:16,NEURA,bot
p0320,Massive pump incoming stay ready! #XCY,acc0150,2025-12-04T15:24:45,XCY,coordinated
p0321,To the moon!!!,acc0478,2025-12-04T15:25:12,NEURA,bot
p0322,Strong team strong roadmap!,acc0118,2025-12-04T15:25:32,ASI,coordinated
p0323,Strong team strong roadmap! #OMNI,acc0339,2025-12-04T15:26:01,OMNI,coordinated
p0324,This might be manipulated.,acc0382,2025-12-04T15:26:23,NEURA,doubt
